Connecting to host 10.255.255.3, port 5001
[  6] local 10.255.255.2 port 35216 connected to 10.255.255.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  2.27 MBytes  19.0 Mbits/sec   24   22.6 KBytes       
[  6]   1.00-2.00   sec  1.99 MBytes  16.7 Mbits/sec   31   15.6 KBytes       
[  6]   2.00-3.00   sec  1.62 MBytes  13.6 Mbits/sec   39   14.1 KBytes       
[  6]   3.00-4.00   sec  1.74 MBytes  14.6 Mbits/sec   25   22.6 KBytes       
[  6]   4.00-5.00   sec  1.80 MBytes  15.1 Mbits/sec   23   25.5 KBytes       
[  6]   5.00-6.00   sec  1.93 MBytes  16.2 Mbits/sec   41   12.7 KBytes       
[  6]   6.00-7.00   sec  1.62 MBytes  13.5 Mbits/sec   39   9.90 KBytes       
[  6]   7.00-8.00   sec  1.74 MBytes  14.6 Mbits/sec   10   22.6 KBytes       
[  6]   8.00-9.00   sec  1.86 MBytes  15.6 Mbits/sec   37   14.1 KBytes       
[  6]   9.00-10.00  sec  1.62 MBytes  13.6 Mbits/sec   15   19.8 KBytes       
[  6]  10.00-11.00  sec  1.99 MBytes  16.7 Mbits/sec   26   11.3 KBytes       
[  6]  11.00-12.00  sec  1.99 MBytes  16.7 Mbits/sec   27   19.8 KBytes       
[  6]  12.00-13.00  sec  1.74 MBytes  14.6 Mbits/sec   42   18.4 KBytes       
[  6]  13.00-14.00  sec  1.99 MBytes  16.7 Mbits/sec   31   9.90 KBytes       
[  6]  14.00-15.00  sec  1.80 MBytes  15.1 Mbits/sec   22   28.3 KBytes       
[  6]  15.00-16.00  sec  1.74 MBytes  14.6 Mbits/sec   25   17.0 KBytes       
[  6]  16.00-17.01  sec  1.74 MBytes  14.5 Mbits/sec   21   26.9 KBytes       
[  6]  17.01-18.00  sec  1.99 MBytes  16.8 Mbits/sec   28   19.8 KBytes       
[  6]  18.00-19.00  sec  1.62 MBytes  13.5 Mbits/sec   33   11.3 KBytes       
[  6]  19.00-20.00  sec  1.68 MBytes  14.1 Mbits/sec   24   11.3 KBytes       
[  6]  20.00-21.00  sec  1.74 MBytes  14.6 Mbits/sec   39   18.4 KBytes       
[  6]  21.00-22.00  sec  1.74 MBytes  14.7 Mbits/sec   22   11.3 KBytes       
[  6]  22.00-23.00  sec  1.49 MBytes  12.5 Mbits/sec   13   22.6 KBytes       
[  6]  23.00-24.03  sec  1.49 MBytes  12.2 Mbits/sec   30   19.8 KBytes       
[  6]  24.03-25.00  sec  1.74 MBytes  15.0 Mbits/sec   22   21.2 KBytes       
[  6]  25.00-26.00  sec  1.68 MBytes  14.1 Mbits/sec   23   22.6 KBytes       
[  6]  26.00-27.00  sec  1.74 MBytes  14.6 Mbits/sec   27   18.4 KBytes       
[  6]  27.00-28.00  sec  1.86 MBytes  15.6 Mbits/sec   33   17.0 KBytes       
[  6]  28.00-29.00  sec  1.68 MBytes  14.1 Mbits/sec   25   17.0 KBytes       
[  6]  29.00-30.00  sec  1.99 MBytes  16.7 Mbits/sec   30   22.6 KBytes       
[  6]  30.00-31.00  sec  1.74 MBytes  14.6 Mbits/sec   20   18.4 KBytes       
[  6]  31.00-32.00  sec  1.74 MBytes  14.6 Mbits/sec   27   14.1 KBytes       
[  6]  32.00-33.00  sec  1.74 MBytes  14.6 Mbits/sec   17   21.2 KBytes       
[  6]  33.00-34.00  sec  1.74 MBytes  14.6 Mbits/sec   38   11.3 KBytes       
[  6]  34.00-35.00  sec  1.74 MBytes  14.6 Mbits/sec   15   24.0 KBytes       
[  6]  35.00-36.00  sec  1.86 MBytes  15.6 Mbits/sec   37   24.0 KBytes       
[  6]  36.00-37.00  sec  2.11 MBytes  17.7 Mbits/sec   23   14.1 KBytes       
[  6]  37.00-38.00  sec  2.11 MBytes  17.7 Mbits/sec   18   22.6 KBytes       
[  6]  38.00-39.00  sec  1.93 MBytes  16.2 Mbits/sec   42   12.7 KBytes       
[  6]  39.00-40.00  sec  2.11 MBytes  17.7 Mbits/sec   47   8.48 KBytes       
[  6]  40.00-41.00  sec  2.30 MBytes  19.3 Mbits/sec   21   25.5 KBytes       
[  6]  41.00-42.00  sec  1.74 MBytes  14.6 Mbits/sec   36   15.6 KBytes       
[  6]  42.00-43.01  sec  1.62 MBytes  13.5 Mbits/sec   22   17.0 KBytes       
[  6]  43.01-44.00  sec  1.74 MBytes  14.6 Mbits/sec   35   8.48 KBytes       
[  6]  44.00-45.01  sec  1.62 MBytes  13.5 Mbits/sec   18   17.0 KBytes       
[  6]  45.01-46.00  sec  1.49 MBytes  12.6 Mbits/sec   17   31.1 KBytes       
[  6]  46.00-47.00  sec  1.55 MBytes  13.0 Mbits/sec   24   22.6 KBytes       
[  6]  47.00-48.00  sec  1.68 MBytes  14.1 Mbits/sec   27   14.1 KBytes       
[  6]  48.00-49.00  sec  1.93 MBytes  16.2 Mbits/sec   28   18.4 KBytes       
[  6]  49.00-50.00  sec  1.80 MBytes  15.1 Mbits/sec   17   22.6 KBytes       
[  6]  50.00-51.00  sec  1.93 MBytes  16.2 Mbits/sec   21   11.3 KBytes       
[  6]  51.00-52.00  sec  1.86 MBytes  15.6 Mbits/sec   24   15.6 KBytes       
[  6]  52.00-53.00  sec  1.80 MBytes  15.1 Mbits/sec   31   11.3 KBytes       
[  6]  53.00-54.00  sec  1.74 MBytes  14.6 Mbits/sec   12   26.9 KBytes       
[  6]  54.00-55.00  sec  1.74 MBytes  14.6 Mbits/sec   12   41.0 KBytes       
[  6]  55.00-56.00  sec  1.80 MBytes  15.1 Mbits/sec   36   14.1 KBytes       
[  6]  56.00-57.00  sec  1.74 MBytes  14.6 Mbits/sec   30   21.2 KBytes       
[  6]  57.00-58.00  sec  1.74 MBytes  14.6 Mbits/sec   23   14.1 KBytes       
[  6]  58.00-59.00  sec  1.74 MBytes  14.6 Mbits/sec   17   21.2 KBytes       
[  6]  59.00-60.00  sec  1.62 MBytes  13.6 Mbits/sec   26   18.4 KBytes       
[  6]  60.00-61.01  sec  1.80 MBytes  15.0 Mbits/sec   23   11.3 KBytes       
[  6]  61.01-62.00  sec  1.68 MBytes  14.2 Mbits/sec   27   14.1 KBytes       
[  6]  62.00-63.00  sec  1.86 MBytes  15.6 Mbits/sec   25   22.6 KBytes       
[  6]  63.00-64.00  sec  1.86 MBytes  15.7 Mbits/sec   24   19.8 KBytes       
[  6]  64.00-65.00  sec  1.62 MBytes  13.6 Mbits/sec   34   12.7 KBytes       
[  6]  65.00-66.00  sec  1.74 MBytes  14.6 Mbits/sec   38   15.6 KBytes       
[  6]  66.00-67.00  sec  1.62 MBytes  13.5 Mbits/sec   20   12.7 KBytes       
[  6]  67.00-68.01  sec  1.62 MBytes  13.5 Mbits/sec   28   22.6 KBytes       
[  6]  68.01-69.01  sec  1.49 MBytes  12.5 Mbits/sec   28   11.3 KBytes       
[  6]  69.01-70.00  sec  1.68 MBytes  14.1 Mbits/sec   16   22.6 KBytes       
[  6]  70.00-71.00  sec  1.62 MBytes  13.6 Mbits/sec   21   21.2 KBytes       
[  6]  71.00-72.00  sec  1.74 MBytes  14.6 Mbits/sec   18   22.6 KBytes       
[  6]  72.00-73.00  sec  1.86 MBytes  15.7 Mbits/sec   35   12.7 KBytes       
[  6]  73.00-74.00  sec  1.74 MBytes  14.6 Mbits/sec   24   17.0 KBytes       
[  6]  74.00-75.00  sec  1.68 MBytes  14.1 Mbits/sec    7   35.4 KBytes       
[  6]  75.00-76.01  sec  1.86 MBytes  15.5 Mbits/sec   37   11.3 KBytes       
[  6]  76.01-77.00  sec  1.55 MBytes  13.2 Mbits/sec   31   21.2 KBytes       
[  6]  77.00-78.00  sec  1.74 MBytes  14.6 Mbits/sec   24   22.6 KBytes       
[  6]  78.00-79.00  sec  1.49 MBytes  12.5 Mbits/sec   22   18.4 KBytes       
[  6]  79.00-80.00  sec  1.62 MBytes  13.5 Mbits/sec   27   15.6 KBytes       
[  6]  80.00-81.00  sec  1.62 MBytes  13.6 Mbits/sec   14   29.7 KBytes       
[  6]  81.00-82.00  sec  1.86 MBytes  15.6 Mbits/sec   36   18.4 KBytes       
[  6]  82.00-83.00  sec  1.86 MBytes  15.6 Mbits/sec   29   21.2 KBytes       
[  6]  83.00-84.00  sec  1.74 MBytes  14.6 Mbits/sec   31   21.2 KBytes       
[  6]  84.00-85.00  sec  1.74 MBytes  14.6 Mbits/sec   32   12.7 KBytes       
[  6]  85.00-86.00  sec  1.74 MBytes  14.6 Mbits/sec   37   9.90 KBytes       
[  6]  86.00-87.00  sec  1.86 MBytes  15.6 Mbits/sec   21   32.5 KBytes       
[  6]  87.00-88.00  sec  1.62 MBytes  13.6 Mbits/sec   21   18.4 KBytes       
[  6]  88.00-89.00  sec  1.68 MBytes  14.1 Mbits/sec   23   21.2 KBytes       
[  6]  89.00-90.00  sec  1.86 MBytes  15.6 Mbits/sec   26   19.8 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-90.00  sec   159 MBytes  14.8 Mbits/sec  2367             sender
[  6]   0.00-90.02  sec   159 MBytes  14.8 Mbits/sec                  receiver

iperf Done.
